ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1190,,Reverse Substrings Between Each Pair of Parentheses,61.5%,Medium,0.1257140691567436, https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses
301,,Remove Invalid Parentheses,43.3%,Hard,0.0871631566059187, https://leetcode.com/problems/remove-invalid-parentheses
759,,Employee Free Time,66.3%,Hard,0.0486122440550937, https://leetcode.com/problems/employee-free-time
56,,Merge Intervals,39.3%,Medium,0.0215099061352744, https://leetcode.com/problems/merge-intervals
253,,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
55,,Jump Game,34.6%,Medium,0.0112656091942189, https://leetcode.com/problems/jump-game
20,,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
15,,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
