ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
335,,Self Crossing,28.0%,Hard,0.1553504400191623, https://leetcode.com/problems/self-crossing
351,,Android Unlock Patterns,48.4%,Medium,0.1552162100292965, https://leetcode.com/problems/android-unlock-patterns
72,,Edit Distance,44.8%,Hard,0.1493569277432215, https://leetcode.com/problems/edit-distance
276,,Paint Fence,38.3%,Easy,0.1424203400417686, https://leetcode.com/problems/paint-fence
815,,Bus Routes,42.5%,Hard,0.1382566197010256, https://leetcode.com/problems/bus-routes
1136,,Parallel Courses,61.1%,Hard,0.137201121513485, https://leetcode.com/problems/parallel-courses
428,,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.1331357447459688, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
420,,Strong Password Checker,14.0%,Hard,0.1325466559619831, https://leetcode.com/problems/strong-password-checker
818,,Race Car,39.0%,Hard,0.1259524089776143, https://leetcode.com/problems/race-car
224,,Basic Calculator,36.8%,Hard,0.1243527448795445, https://leetcode.com/problems/basic-calculator
1504,,Count Submatrices With All Ones,61.7%,Medium,0.1201744277884591, https://leetcode.com/problems/count-submatrices-with-all-ones
894,,All Possible Full Binary Trees,75.2%,Medium,0.1143375974490835, https://leetcode.com/problems/all-possible-full-binary-trees
174,,Dungeon Game,32.3%,Hard,0.1105333806406134, https://leetcode.com/problems/dungeon-game
743,,Network Delay Time,45.0%,Medium,0.1092324585441387, https://leetcode.com/problems/network-delay-time
924,,Minimize Malware Spread,42.0%,Hard,0.1082135846402327, https://leetcode.com/problems/minimize-malware-spread
159,,Longest Substring with At Most Two Distinct Characters,49.4%,Medium,0.1045337276818322, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
845,,Longest Mountain in Array,37.2%,Medium,0.1037796799178986, https://leetcode.com/problems/longest-mountain-in-array
393,,UTF-8 Validation,37.5%,Medium,0.1021294950763798, https://leetcode.com/problems/utf-8-validation
158,,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,0.1009046841242985, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
417,,Pacific Atlantic Water Flow,41.1%,Medium,0.1000834585569825, https://leetcode.com/problems/pacific-atlantic-water-flow
410,,Split Array Largest Sum,44.5%,Hard,0.099460793530638, https://leetcode.com/problems/split-array-largest-sum
862,,Shortest Subarray with Sum at Least K,24.6%,Hard,0.0979375349867057, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
935,,Knight Dialer,45.2%,Medium,0.0973741640251763, https://leetcode.com/problems/knight-dialer
76,,Minimum Window Substring,34.6%,Hard,0.0953243864686713, https://leetcode.com/problems/minimum-window-substring
1277,,Count Square Submatrices with All Ones,73.3%,Medium,0.0931446552067034, https://leetcode.com/problems/count-square-submatrices-with-all-ones
352,,Data Stream as Disjoint Intervals,47.3%,Hard,0.0928741250064437, https://leetcode.com/problems/data-stream-as-disjoint-intervals
690,,Employee Importance,57.3%,Easy,0.0927125604145881, https://leetcode.com/problems/employee-importance
1062,,Longest Repeating Substring,57.2%,Medium,0.0920188987202521, https://leetcode.com/problems/longest-repeating-substring
1131,,Maximum of Absolute Value Expression,53.0%,Medium,0.090559577045727, https://leetcode.com/problems/maximum-of-absolute-value-expression
549,,Binary Tree Longest Consecutive Sequence II,47.0%,Medium,0.0881627875946716, https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii
53,,Maximum Subarray,46.5%,Easy,0.0876981281416274, https://leetcode.com/problems/maximum-subarray
10,,Regular Expression Matching,26.8%,Hard,0.0846645937120161, https://leetcode.com/problems/regular-expression-matching
939,,Minimum Area Rectangle,51.8%,Medium,0.0836141400411335, https://leetcode.com/problems/minimum-area-rectangle
332,,Reconstruct Itinerary,36.7%,Medium,0.083021433280261, https://leetcode.com/problems/reconstruct-itinerary
1244,,Design A Leaderboard,60.7%,Medium,0.0828631160135051, https://leetcode.com/problems/design-a-leaderboard
911,,Online Election,50.4%,Medium,0.0811804566788365, https://leetcode.com/problems/online-election
250,,Count Univalue Subtrees,52.0%,Medium,0.0797588183884502, https://leetcode.com/problems/count-univalue-subtrees
2,,Add Two Numbers,33.9%,Medium,0.0795615789623275, https://leetcode.com/problems/add-two-numbers
128,,Longest Consecutive Sequence,45.1%,Hard,0.0786603197723907, https://leetcode.com/problems/longest-consecutive-sequence
66,,Plus One,43.0%,Easy,0.0785209340737762, https://leetcode.com/problems/plus-one
166,,Fraction to Recurring Decimal,21.6%,Medium,0.0782795570551556, https://leetcode.com/problems/fraction-to-recurring-decimal
