ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
355,,Design Twitter,30.3%,Medium,0.320114253426109, https://leetcode.com/problems/design-twitter
1126,,Active Businesses,68.5%,Medium,0.1929036661244915, https://leetcode.com/problems/active-businesses
692,,Top K Frequent Words,51.8%,Medium,0.065693078822874, https://leetcode.com/problems/top-k-frequent-words
528,,Random Pick with Weight,43.9%,Medium,0.0330669362665733, https://leetcode.com/problems/random-pick-with-weight
347,,Top K Frequent Elements,61.2%,Medium,0.0296627262385548, https://leetcode.com/problems/top-k-frequent-elements
