ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
92,,Reverse Linked List II,38.8%,Medium,0.0363044938274503, https://leetcode.com/problems/reverse-linked-list-ii
71,,Simplify Path,32.6%,Medium,0.0314522220534811, https://leetcode.com/problems/simplify-path
73,,Set Matrix Zeroes,43.1%,Medium,0.0230008791527158, https://leetcode.com/problems/set-matrix-zeroes
49,,Group Anagrams,56.9%,Medium,0.0187725354410402, https://leetcode.com/problems/group-anagrams
146,,LRU Cache,33.2%,Medium,0.0103211925402749, https://leetcode.com/problems/lru-cache
242,,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram
2,,Add Two Numbers,33.9%,Medium,0.0037953910529002, https://leetcode.com/problems/add-two-numbers
79,,Word Search,35.6%,Medium,0.0037417413630186, https://leetcode.com/problems/word-search
206,,Reverse Linked List,62.5%,Easy,0.0023398665252948, https://leetcode.com/problems/reverse-linked-list
